epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1147.89,1.1899,2.32862,1.03381,0.66477,0.72882,0.77618,0.50215,1.11985,2.4422,1.04371,0.000473852,0.000473852,0.000473852
2,2369.58,1.19925,1.39679,1.06761,0.70605,0.77246,0.80002,0.45569,1.41091,1.76672,1.16299,0.000940779,0.000940779,0.000940779
3,3583.17,1.17688,1.06346,1.08495,0.64486,0.65675,0.75377,0.45645,1.29054,1.77469,1.16959,0.00139827,0.00139827,0.00139827
4,4811.27,1.14136,0.89919,1.06429,0.6455,0.75127,0.75913,0.42409,1.42837,1.49217,1.19701,0.00138656,0.00138656,0.00138656
5,6063.12,1.10883,0.80705,1.06288,0.76671,0.81219,0.88381,0.58384,1.14265,0.95112,1.05852,0.00137241,0.00137241,0.00137241
6,7180.15,1.07852,0.7577,1.05811,0.88947,0.74773,0.86226,0.52523,1.33855,1.10502,1.17109,0.00135826,0.00135826,0.00135826
7,8304.54,1.05758,0.71036,1.04605,0.79861,0.74427,0.88011,0.52501,1.24889,1.12924,1.10466,0.00134412,0.00134412,0.00134412
8,9655.14,1.05146,0.70183,1.03907,0.8457,0.79735,0.88865,0.58118,1.18587,0.84969,1.08907,0.00132997,0.00132997,0.00132997
