epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1229.47,0.92539,0.56119,1.00906,0.89496,0.87179,0.94704,0.62966,1.14539,0.74755,1.05115,0.000473852,0.000473852,0.000473852
2,2400.83,0.92444,0.55236,0.99965,0.86816,0.87778,0.90573,0.62588,1.08478,0.77101,1.04671,0.000856117,0.000856117,0.000856117
3,3514.25,0.93252,0.58162,1.00845,0.889,0.86916,0.90927,0.59722,1.24947,0.87757,1.11433,0.00114407,0.00114407,0.00114407
4,4724.8,0.92981,0.57079,0.99858,0.89543,0.87809,0.93614,0.62447,1.14738,0.73498,1.04907,0.00100459,0.00100459,0.00100459
5,5936.36,0.9197,0.53352,0.99695,0.89967,0.89594,0.94272,0.63776,1.08546,0.67482,1.03248,0.000863116,0.000863116,0.000863116
6,7111.69,0.89832,0.49921,0.98491,0.89669,0.94236,0.96389,0.68044,1.04916,0.59148,1.02645,0.000721645,0.000721645,0.000721645
7,8335.14,0.84789,0.47473,0.96349,0.89319,0.90068,0.9221,0.64107,1.05767,0.66824,1.01899,0.000580174,0.000580174,0.000580174
8,9530.27,0.825,0.43904,0.95032,0.93201,0.93356,0.9689,0.70489,1.02897,0.56945,1.00144,0.000438703,0.000438703,0.000438703
9,10769.5,0.79301,0.40501,0.94442,0.92206,0.95301,0.97097,0.70642,1.02269,0.53348,1.0044,0.000297232,0.000297232,0.000297232
10,11920.9,0.78007,0.38962,0.93417,0.94759,0.95276,0.97815,0.72104,0.98237,0.50612,0.99152,0.000155761,0.000155761,0.000155761
