epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1124.43,0.87919,0.48208,0.96475,0.88422,0.86581,0.91659,0.64692,1.06178,0.84169,1.00637,0.000473852,0.000473852,0.000473852
2,2234.6,0.92805,0.53937,0.98291,0.89648,0.90619,0.94273,0.62823,1.20518,0.71622,1.07934,0.000931372,0.000931372,0.000931372
3,3478.86,0.96118,0.56881,1.00271,0.85734,0.90984,0.93254,0.64208,1.09733,0.6921,1.0218,0.00137003,0.00137003,0.00137003
4,15120.1,0.96062,0.57781,1.00244,0.87955,0.84956,0.93652,0.65183,1.08332,0.74751,1.02025,0.00134412,0.00134412,0.00134412
5,16112.3,0.94077,0.55924,0.99149,0.89775,0.92836,0.96584,0.6865,1.04168,0.59803,1.00717,0.00131582,0.00131582,0.00131582
6,17258.8,0.93363,0.5757,1.00655,0.89528,0.87488,0.9108,0.63756,1.08438,0.75343,1.04571,0.00128753,0.00128753,0.00128753
